"mmdd","dd","Qw","Qw_max","Qw_min","Qw_std","Qs","Qs_max","Qs_min","Qs_std","Qs_m","Qs_m_max","Qs_m_min","Qs_m_std","Qw_m.avg","Qs_m_m.avg"
"1",101,0,529.2682926829,1320,26.5,299.3225078732,1.8434780488,10.9,0.005,2.3256661717,0.695652093886792,4.11320754716981,0.00188679245283019,0.877609876113208,540.389442508714,0.700643977385445
"2",102,1,521.6536585366,1500,22.3,305.9475617631,1.7087987805,12.4,0.004,2.3021563765,0.644829728490566,4.67924528301887,0.00150943396226415,0.868738255283019,532.300243902443,0.690070264285714
"3",103,2,515.4219512195,1370,19.3,281.7956790941,1.5715741463,8.74,0.004,1.9197438126,0.593046847660377,3.29811320754717,0.00150943396226415,0.724431627396226,525.560522648086,0.662944352770889
"4",104,3,511.8780487805,1280,16,267.638393651,1.6422463415,10.7,0.002,2.1292951698,0.619715600566038,4.0377358490566,0.000754716981132075,0.803507611245283,515.252613240429,0.594480507525606
"5",105,4,521.7268292683,1390,13.8,277.0638545754,1.4998939024,7.77,0.002,1.5977591382,0.565997699018868,2.93207547169811,0.000754716981132075,0.602927976679245,510.707665505243,0.557885490760108
"6",106,5,508.2341463415,1380,12.6,261.944551012,1.4705639024,7.22,0.001,1.6340778099,0.554929774490566,2.72452830188679,0.000377358490566038,0.616633135811321,509.848606271786,0.539894563142857
"7",107,6,498.5853658537,1040,12,217.790837228,1.2910582927,5.17,0.002,1.2289390704,0.487191808566038,1.95094339622642,0.000754716981132075,0.463750592603774,509.094250871086,0.527095309973046
"8",108,7,497.4536585366,1080,9.6,239.2416310946,1.1646404878,4.3,0.002,1.1721012374,0.439486976528302,1.62264150943396,0.000754716981132075,0.442302353735849,508.095993031357,0.514489195973046
"9",109,8,515.6402439024,1290,9.25,270.8721218628,1.3750670732,4.94,0.002,1.4813771762,0.518893235169811,1.86415094339623,0.000754716981132075,0.559010255169811,505.846167247386,0.502954964167116
"10",110,9,510.1414634146,1257,10.8,260.7991957192,1.334148,7.24,0.002,1.588581753,0.503452075471698,2.73207547169811,0.000754716981132075,0.59946481245283,505.828048780486,0.495249040824798
"11",111,10,504.8902439024,1140,8.5,243.0769300087,1.4084029268,11.4,0.003,1.9719984719,0.531472802566038,4.30188679245283,0.00113207547169811,0.744150366754717,508.7444250871,0.495426550522911
"12",112,11,505.9780487805,1180,16.1,251.9195799379,1.2859339024,7.42,0.001,1.5653937071,0.485258076377359,2.8,0.000377358490566038,0.59071460645283,509.930487804871,0.501803330485175
"13",113,12,508.1073170732,1040,66.4,223.2557999137,1.3276190244,5.9,0.023,1.5169676567,0.50098831109434,2.22641509433962,0.00867924528301887,0.572440625169811,506.758188153314,0.486758177633423
"14",114,13,519,963,80,236.6454098435,1.2943510976,5.16,0.014,1.4141083277,0.48843437645283,1.94716981132075,0.00528301886792453,0.533625784037736,502.121254355414,0.482351202420485
"15",115,14,505.756097561,1060,80,244.0751708478,1.2829297561,5.32,0.014,1.4313872981,0.484124436264151,2.00754716981132,0.00528301886792453,0.540146150226415,498.509756097586,0.465642665180593
"16",116,15,493.4341463415,1010,80,233.4332619934,1.0959794878,5.1,0.014,1.2177635147,0.413577165207547,1.92452830188679,0.00528301886792453,0.459533401773585,498.608710801414,0.466211536393531
"17",117,16,477.6829268293,1000,87,224.3783009812,1.2523986098,7.89,0.030363,1.7408021342,0.472603248981132,2.97735849056604,0.0114577358490566,0.656906465735849,498.204181184686,0.466150262312668
"18",118,17,479.6097560976,910,85,226.6282063258,1.098459561,4.94,0.023205,1.2149813361,0.414513041886792,1.86415094339623,0.0087566037735849,0.458483523056604,496.250174216043,0.465019447757412
"19",119,18,506.6707317073,1150,92.5,261.1431027654,1.2964864634,7.45,0.03515,1.6937707924,0.489240174867925,2.81132075471698,0.0132641509433962,0.639158789584906,496.6236933798,0.470527147450135
"20",120,19,505.2756097561,1220,95.3,253.9088407091,1.3264823902,9.6,0.032,1.9220722231,0.500559392528302,3.62264150943396,0.0120754716981132,0.725310272867924,495.5236933798,0.486050969681941
"21",121,20,505.3219512195,1220,84.2,262.1573187155,1.2733744876,8.16,0.0322,1.8525407983,0.480518674566038,3.07924528301887,0.0121509433962264,0.699071999358491,497.060975609757,0.478823147708895
"22",122,21,508.3707317073,1100,72.5,254.7239341365,1.3850975854,11.8,0.024,2.1889724004,0.522678334113208,4.45283018867925,0.00905660377358491,0.82602732090566,500.662020905914,0.484422370636119
"23",123,22,485.7341463415,1000,62.1,235.3303694912,1.3839463902,20.5,0.032,3.199479485,0.522243920830189,7.73584905660377,0.0120754716981132,1.2073507490566,500.638675958186,0.494927787768194
"24",124,23,488.443902439,1070,55.7,238.9890405947,1.1183225122,9.86,0.03,1.6733476761,0.422008495169811,3.72075471698113,0.0113207547169811,0.631451953245283,497.795818815329,0.487204119374663
