river,date,Q (cms),Q/Q5%,C*** (mg/L),Qs (kg/s),b (m),T (C),sigg,tau*,u* (cm/s),D50 (mm),D90 (mm),vs50/u*,h (m),So,Cm*,C (ppm),Rib,Kred,C5t,Um,Cave**,qs,D50s,625-125,125-25,25-50,scaled effect
atchafalaya,4/12/1962,14184.6634065279,1.08578256326759,371,5262.51012382184,503.200243828101,15,1.41754146564749,2.27510231769449,8.42922225769092,0.192939489929168,0.372138882940213,0.22777902175354,14.7211216092655,4.92E-05,0.000185345024964,491.164316153719,1.41583778415916,0.523273952557176,0.00244425,1.30446832038449,,0.474959527161847,0.853218584252896,,,,0.527598319222084
atchafalaya,6/5/1961,13844.910989605,1.05977579528514,268,3710.43614521415,483.693995733008,21.1111111111111,1.34030208057917,2.4059778279762,8.37159749513452,0.179958392994578,0.270944906000381,0.229705262480384,14.2029868942396,5.03E-05,0.000138792360473,367.799755254175,1.04580921924644,0.600802347117806,0.000976185,1.14375727495325,,0.663071412964088,0.896717327145955,,,,0.604300592767769
atchafalaya,5/24/1961,12570.8394261445,0.962250415350922,248,3117.56817768382,476.074367570863,21.1111111111111,1.39235644286161,2.19115241772441,8.04916487383057,0.182673734174958,0.31694004940084,0.244870123906657,14.2029868942396,4.65E-05,0.000128589708025,340.762726265467,1.11730824228527,0.608289617190829,0.000908783,1.14637174763389,,0.679063365523039,0.923446640698972,,,,0.605953382835863
atchafalaya,4/20/1965,12146.1489049909,0.929741955372851,184,2234.89139851833,457.177689728741,16.6666666666667,1.51961774550168,1.85119658761615,8.25211646122416,0.227261152276842,0.440795627498011,0.304164393679395,13.7458092045108,5.05E-05,7.35573709637103E-05,194.927033053832,0.731016429321089,0.749779012482136,0.000238478,1.04010456817619,,0.896684596664396,0.99054904412591,,,,0.744336854074753
atchafalaya,5/18/1961,11778.0837866579,0.901567956725189,201,2367.39484111823,469.67387991466,20.5555555555556,1.73855795231682,1.35716186974747,7.96655545332595,0.288906003104545,0.721670288514978,0.468081848152226,14.538250533374,4.45E-05,0.000105096591944,278.505968652841,1.8240400345299,0.63219444902125,0.000878555,1.15365839558743,,0.662335179898509,0.866936592463657,,,,0.625677481830535
atchafalaya,4/21/1961,11636.5202796067,0.890731803399165,179,2082.9371300496,468.759524535203,16.1111111111111,1.79747759445164,1.48481446504445,8.02479736518061,0.267943365634073,0.680395000087188,0.391660979956627,14.7516001219141,4.45E-05,8.8127860035693E-05,233.538829094586,1.27981578961908,0.6668927355805,0.000599364,1.0584451633632,,0.73494698164517,0.909720429239984,,,,0.65922046706442
atchafalaya,4/13/1965,11240.1424598634,0.860390574086298,223,2506.55176854954,454.129838463883,15,1.43438939540118,1.94451018408501,7.86576593200202,0.19657073592526,0.384650908682628,0.2517237376648,13.1667174641877,4.79E-05,9.01215536639882E-05,238.822117209569,0.781450138800745,0.692820041168092,0.000324942,1.0584451633632,,0.84840735853331,0.981408028321456,,,,0.682480121700283
atchafalaya,4/7/1965,10220.8852090949,0.782370270138926,273,2790.30166208291,451.081987199025,12.2222222222222,1.41046342322062,1.7903986737524,7.58190112218817,0.198359741502321,0.385931068446661,0.24980542076146,13.2276744894849,4.43E-05,0.000111644270293,295.85731627756,1.03876788852864,0.626087999259666,0.000487733,1.09993805063498,,0.770406893021682,0.938640524459187,,,,0.610909126629986
atchafalaya,3/18/1964,9173.31525691622,0.702182735526349,302,2770.3412075887,417.555623285584,11.6666666666667,1.51441737719545,1.74867053063257,7.3894193573988,0.192912196122876,0.38679193795665,0.244268177606229,13.3800670527278,4.16E-05,4.1783403760731E-05,110.726019965937,0.404819404323351,0.78454387998082,0.000345615,1.06515401495883,,0.805376350491683,0.929957208119001,,,,0.757290055201017
atchafalaya,5/18/1965,8663.68663153199,0.663172583552663,114,987.660275994646,435.842730874733,22.2222222222222,1.71612066192269,1.1358392732459,7.25313939532965,0.286142400112816,0.61333060253388,0.518396213703144,12.9533678756477,4.14E-05,4.70973486554018E-05,124.807973936815,0.973065070299234,0.752575717556184,0.000328693,1.07006592998083,,0.805833652685135,0.941520817879648,,,,0.722292088168556
atchafalaya,3/12/1965,8522.12312448081,0.652336430226639,144,1227.18572992524,435.842730874733,7.77777777777778,1.37707324372336,1.7081198781624,6.90792847166084,0.172593472095921,0.248,0.203823766528011,12.8009753124048,3.8E-05,5.82587851414808E-05,154.385780624924,0.515604375906751,0.727786654507103,0.000223377,,,0.867600933193382,0.980829151678563,,,,0.697350715593764
atchafalaya,3/18/1963,8663.68663153199,0.663172583552663,114,987.660275994646,435.842730874733,22.2222222222222,1.71612066192269,1.1358392732459,7.25313939532965,0.286142400112816,0.373,0.518396213703144,12.9533678756477,4.14E-05,4.70973486554018E-05,124.807973936815,0.973065070299234,0.752575717556184,0.000328693,,,0.805833652685135,0.941520817879648,,,,0.722292088168556
atchafalaya,2/19/1965,8437.1850202501,0.645834738231024,318,2683.02483643953,408.412069491009,8.88888888888889,1.64812483295827,1.90844997534825,6.63121997295954,0.142348579344586,0.288,0.158492706362587,11.6427918317586,3.85E-05,0.000130199056152,345.027498802895,0.884382890373884,0.577642340318379,0.000555101,,,0.738993293817609,0.963973226360625,,,,0.552931279716895
atchafalaya,4/24/1964,8352.2469160194,0.63933304623541,110,918.747160762134,414.507772020725,17.7777777777778,1.501878058355,1.40743740344756,7.09371026956987,0.220884302388179,0.426,0.346645113284152,12.0694910088388,4.25E-05,4.62451108774947E-05,122.549543825361,0.622366089489319,0.760971834565174,0.000253242,,,0.84266720427097,0.957158712521775,,,,0.727681439966806
atchafalaya,6/23/1961,8040.80720050681,0.615493508918157,175,1407.14126008869,406.278573605608,25.5555555555556,1.61386047506971,1.61311497908285,7.07002502725488,0.19143600683134,0.5,0.318244983762613,13.6238951539165,3.74E-05,8.89983842079749E-05,235.845718151134,1.24955688252202,0.631105222046745,0.001500539,,,0.52446223861597,0.784465366491932,,,,0.601207128619927
atchafalaya,3/26/1965,7984.18179768634,0.611159047587748,177,1413.20017819048,438.890582139592,8.33333333333333,1.38188545577446,1.43285457417683,6.60422442455765,0.18805660002659,0.347,0.245297539250191,11.8561414202987,3.75E-05,7.48708413409925E-05,198.40772955363,0.808087858271625,0.663119545382374,0.000466898,,,0.745451406932962,0.928547208465711,,,,0.631258520956017
atchafalaya,1/22/1965,6851.67374127693,0.524469820979557,139,952.382650037493,402.316366961292,7.22222222222222,1.21908939111081,1.30359934503643,6.02219242343539,0.17187478626349,0.233,0.228820320426412,11.0027430661384,3.36E-05,5.63362165848874E-05,149.290973949952,0.633033850161709,0.713245577862623,0.000211222,,,0.858246011456388,0.984364499448787,,,,0.668668920808306
