timestep,time,crateridx,diameter,ref_elev,location_x,location_y,p_SLR,p_f_bedload,p_crater_accumulation_duration,p_crater_accumulation_number,p_crater_size,log_ID,distance_inlet,interbedded,rim_frac,ejecta_frac,rim_frac_sfc,rim_degree_cov,rim_degree_consec,rim_degree_consec_aboveref,rim_degree_consec_top
0,0.0,1,13.0,-6.0,11170.0,3190.0,1e-08,0.5,100.0,200.0,-1.0,0,6050.471056041835,False,1.0,,0.0,,360.0,360.0,
0,0.0,2,14.2,-6.0,6230.0,4630.0,1e-08,0.5,100.0,200.0,-1.0,0,4556.862956025779,False,0.875,1.0,0.0,,315.0,360.0,
1,10666.7,3,16.8,-6.0,8670.0,1110.0,1e-08,0.5,100.0,200.0,-1.0,0,2880.451353520833,False,1.0,1.0,0.0,,360.0,360.0,
2,21333.3,4,11.1,-6.0,3270.0,3190.0,1e-08,0.5,100.0,200.0,-1.0,0,4125.069696380899,False,0.875,,0.0,,315.0,360.0,
2,21333.3,5,11.6,-6.0,9070.0,4150.0,1e-08,0.5,100.0,200.0,-1.0,0,5110.088061863514,False,0.875,,0.0,,315.0,360.0,
2,21333.3,6,12.2,-6.0,4030.0,5370.0,1e-08,0.5,100.0,200.0,-1.0,0,5637.960624197371,False,1.0,,0.0,,360.0,360.0,
3,32000.0,7,19.3,-6.0,5990.0,5030.0,1e-08,0.5,100.0,200.0,-1.0,0,4950.010100999795,False,1.0,1.0,0.125,,360.0,360.0,
3,32000.0,8,12.1,-6.0,10230.0,1290.0,1e-08,0.5,100.0,200.0,-1.0,0,4418.891263654266,False,1.0,,0.0,,360.0,360.0,
5,53333.3,9,14.8,-6.0,3770.0,3130.0,1e-08,0.5,100.0,200.0,-1.0,0,3766.5103212390113,False,0.875,1.0,0.0,,315.0,360.0,
5,53333.3,10,11.1,-6.0,3330.0,2050.0,1e-08,0.5,100.0,200.0,-1.0,0,3302.029678849056,False,1.0,,0.0,,360.0,360.0,
5,53333.3,11,10.8,-6.0,2710.0,5950.0,1e-08,0.5,100.0,200.0,-1.0,0,6719.360088579864,False,1.0,,0.0,,360.0,360.0,
5,53333.3,12,17.4,-6.0,7770.0,1590.0,1e-08,0.5,100.0,200.0,-1.0,0,2341.8368858654526,False,1.0,0.5833333333333334,0.0,,360.0,360.0,
5,53333.3,13,12.7,-6.0,11790.0,4430.0,1e-08,0.5,100.0,200.0,-1.0,0,7258.002480021621,False,0.8333333333333334,,0.0,,135.0,240.0,
6,64000.0,14,32.8,-6.0,5570.0,3590.0,1e-08,0.5,100.0,200.0,-1.0,0,3533.864739912947,False,1.0,0.9666666666666667,0.125,,360.0,360.0,
6,64000.0,15,17.4,-6.0,1550.0,550.0,1e-08,0.5,100.0,200.0,-1.0,0,4454.862511907635,False,0.75,0.8333333333333334,0.0,,225.0,360.0,
6,64000.0,16,11.0,-6.0,4670.0,2570.0,1e-08,0.5,100.0,200.0,-1.0,0,2813.5742392906573,False,0.0,,0.0,,0.0,0.0,
9,96000.0,17,10.0,-6.0,11010.0,1610.0,1e-08,0.5,100.0,200.0,-1.0,0,5257.5469565187905,False,0.875,,0.0,,315.0,360.0,
11,117333.3,18,15.5,-6.0,4410.0,2090.0,1e-08,0.5,100.0,200.0,-1.0,0,2550.4901489713698,False,0.0,0.0,0.0,,0.0,0.0,
11,117333.3,19,16.1,-6.0,6610.0,3110.0,1e-08,0.5,100.0,200.0,-1.0,0,3094.8020938341115,False,0.25,0.3333333333333333,0.0,,0.0,240.0,
11,117333.3,20,20.7,-6.0,6330.0,5950.0,1e-08,0.5,100.0,200.0,-1.0,0,5880.425154697575,False,1.0,1.0,0.5,,360.0,360.0,
11,117333.3,21,12.8,-6.0,11790.0,4730.0,1e-08,0.5,100.0,200.0,-1.0,0,7441.679917868008,False,1.0,,0.0,,360.0,360.0,
11,117333.3,22,44.0,-6.0,2070.0,3770.0,1e-08,0.5,100.0,200.0,-1.0,0,5376.262642393877,False,0.875,0.953125,0.875,,315.0,288.0,
13,138666.7,23,18.4,-6.0,6230.0,670.0,1e-08,0.5,100.0,200.0,-1.0,0,640.7807737440318,False,0.0,0.0,0.0,,0.0,0.0,
13,138666.7,24,11.4,-6.0,1150.0,3690.0,1e-08,0.5,100.0,200.0,-1.0,0,6030.008291868263,False,0.875,,0.125,,315.0,360.0,
13,138666.7,25,10.8,-6.0,8930.0,4750.0,1e-08,0.5,100.0,200.0,-1.0,0,5523.712519673702,False,1.0,,0.0,,360.0,360.0,
14,149333.3,26,11.3,-6.0,8550.0,3630.0,1e-08,0.5,100.0,200.0,-1.0,0,4382.624784304493,False,1.0,,0.0,,360.0,360.0,
15,160000.0,27,14.1,-6.0,870.0,870.0,1e-08,0.5,100.0,200.0,-1.0,0,5170.705947933996,False,1.0,0.75,0.0,,360.0,360.0,
15,160000.0,28,12.1,-6.0,1430.0,530.0,1e-08,0.5,100.0,200.0,-1.0,0,4572.198595861732,False,0.875,,0.0,,315.0,360.0,
16,170666.7,29,17.5,-6.0,6530.0,4170.0,1e-08,0.5,100.0,200.0,-1.0,0,4126.814752324121,False,0.625,0.8333333333333334,0.0,,135.0,360.0,
17,181333.3,30,11.1,-6.0,2350.0,570.0,1e-08,0.5,100.0,200.0,-1.0,0,3662.9223305988894,False,0.875,,0.0,,315.0,360.0,
17,181333.3,31,12.0,-6.0,2070.0,2050.0,1e-08,0.5,100.0,200.0,-1.0,0,4378.241656190302,False,1.0,,0.25,,360.0,360.0,
18,192000.0,32,21.0,-6.0,450.0,330.0,1e-08,0.5,100.0,200.0,-1.0,0,5535.648110203538,False,0.75,0.95,0.375,,270.0,240.0,
18,192000.0,33,16.9,-6.0,7070.0,5030.0,1e-08,0.5,100.0,200.0,-1.0,0,5068.589547398763,False,1.0,0.75,0.0,,360.0,360.0,
19,202666.7,34,13.6,-6.0,1190.0,2050.0,1e-08,0.5,100.0,200.0,-1.0,0,5179.285665031424,False,1.0,1.0,0.0,,360.0,360.0,
19,202666.7,35,11.0,-6.2,11770.0,4450.0,1e-08,0.5,100.0,200.0,-1.0,0,7254.033360827616,False,0.75,,0.0,,135.0,360.0,
20,213333.3,36,11.1,-6.0,8970.0,3670.0,1e-08,0.5,100.0,200.0,-1.0,0,4672.065924192423,False,1.0,,0.0,,360.0,360.0,
20,213333.3,37,10.7,-6.0,7690.0,3470.0,1e-08,0.5,100.0,200.0,-1.0,0,3796.8671296214725,False,1.0,,0.125,,360.0,360.0,
20,213333.3,38,10.3,-6.0,1630.0,4830.0,1e-08,0.5,100.0,200.0,-1.0,0,6440.885032353861,False,0.75,,0.125,,135.0,360.0,
23,245333.3,39,12.5,-6.0,8810.0,710.0,1e-08,0.5,100.0,200.0,-1.0,0,2899.275771636772,False,1.0,,0.125,,360.0,360.0,
24,256000.0,40,12.2,-6.0,9330.0,2850.0,1e-08,0.5,100.0,200.0,-1.0,0,4346.883941399862,False,1.0,,0.0,,360.0,360.0,
24,256000.0,41,11.2,-6.0,950.0,4710.0,1e-08,0.5,100.0,200.0,-1.0,0,6836.504955019048,False,1.0,,0.0,,360.0,360.0,
25,266666.7,42,10.1,-6.0,7810.0,5310.0,1e-08,0.5,100.0,200.0,-1.0,0,5540.920501144192,False,0.75,,0.125,,180.0,360.0,
25,266666.7,43,10.2,-6.0,6510.0,730.0,1e-08,0.5,100.0,200.0,-1.0,0,838.6894538504702,False,0.0,,0.0,,0.0,0.0,
27,288000.0,44,11.1,-6.0,1970.0,3930.0,1e-08,0.5,100.0,200.0,-1.0,0,5559.010703353611,False,1.0,,0.125,,360.0,360.0,
27,288000.0,45,10.4,-6.0,10610.0,5690.0,1e-08,0.5,100.0,200.0,-1.0,0,7273.857298572746,False,1.0,,0.0,,360.0,360.0,
27,288000.0,46,11.7,-6.0,6970.0,2770.0,1e-08,0.5,100.0,200.0,-1.0,0,2866.3914596579443,False,0.875,,0.0,,315.0,360.0,
28,298666.7,47,15.9,-6.0,3170.0,470.0,1e-08,0.5,100.0,200.0,-1.0,0,2836.934965768514,False,1.0,1.0,0.0,,360.0,360.0,
29,309333.3,48,16.6,-6.0,1450.0,1850.0,1e-08,0.5,100.0,200.0,-1.0,0,4863.517245780054,False,0.5,0.8333333333333334,0.25,,135.0,240.0,
29,309333.3,49,13.5,-6.0,6850.0,4190.0,1e-08,0.5,100.0,200.0,-1.0,0,4201.071291944472,False,0.875,0.75,0.0,,315.0,360.0,
30,320000.0,50,12.8,-6.0,9750.0,2830.0,1e-08,0.5,100.0,200.0,-1.0,0,4666.411897807565,False,1.0,,0.0,,360.0,360.0,
