diameter [m],ecdf 1 bar [-],ecdf 2 bar [-]
0,0,0
1.30653,0,0
2.61307,0,0
3.9196,0,0
5.22613,0,0
6.53266,0,0
7.8392,0,0
9.14573,0,0
10.45226,6E-05,0
11.75879,0.00021,0
13.06533,0.00035,0
14.37186,0.0005,0
15.67839,0.00064,5E-05
16.98492,0.00065,0.00034
18.29146,0.00065,0.0031
19.59799,0.00066,0.00641
20.90452,0.00066,0.01305
22.21106,0.00067,0.02078
23.51759,0.00056,0.03083
24.82412,0.00041,0.04089
26.13065,0.00026,0.05161
27.43719,0.00012,0.06337
28.74372,0.00028,0.07514
30.05025,0.00154,0.09007
31.35678,0.0028,0.1049
32.66332,0.00406,0.11923
33.96985,0.00595,0.13358
35.27638,0.00883,0.14867
36.58291,0.01172,0.16376
37.88945,0.01507,0.18144
39.19598,0.01962,0.19917
40.50251,0.02417,0.21589
41.80905,0.02938,0.23261
43.11558,0.0347,0.24946
44.42211,0.04072,0.26633
45.72864,0.04735,0.28159
47.03518,0.05424,0.29685
48.34171,0.06189,0.31211
49.64824,0.06954,0.32654
50.95477,0.0774,0.34035
52.26131,0.08612,0.3538
53.56784,0.09484,0.36769
54.87437,0.10481,0.38081
56.1809,0.11499,0.3928
57.48744,0.12516,0.40562
58.79397,0.13533,0.41971
60.1005,0.14812,0.43184
61.40704,0.16109,0.4418
62.71357,0.17353,0.45237
64.0201,0.18496,0.46368
65.32663,0.19639,0.47455
66.63317,0.2078,0.48422
67.9397,0.21917,0.49381
69.24623,0.23054,0.50326
70.55276,0.24163,0.5127
71.8593,0.25221,0.52214
73.16583,0.26279,0.5311
74.47236,0.27386,0.53954
75.77889,0.28508,0.54798
77.08543,0.29629,0.55597
78.39196,0.30739,0.56338
79.69849,0.31754,0.57087
81.00503,0.32769,0.5786
82.31156,0.33784,0.58634
83.61809,0.34756,0.59373
84.92462,0.35669,0.60067
86.23116,0.36582,0.60753
87.53769,0.37494,0.61396
88.84422,0.38388,0.6204
90.15075,0.3928,0.62694
91.45729,0.40173,0.63354
92.76382,0.41065,0.6401
94.07035,0.4185,0.64628
95.37688,0.42632,0.65245
96.68342,0.43415,0.65859
97.98995,0.44212,0.66425
99.29648,0.4504,0.6699
100.60302,0.45868,0.6745
101.90955,0.46615,0.67841
103.21608,0.47294,0.68232
104.52261,0.47972,0.68762
105.82915,0.48662,0.69359
107.13568,0.49374,0.69891
108.44221,0.50086,0.70372
109.74874,0.50794,0.70854
111.05528,0.51427,0.71283
112.36181,0.5206,0.71709
113.66834,0.52693,0.72145
114.97487,0.5333,0.72613
116.28141,0.53973,0.73082
117.58794,0.54616,0.73472
118.89447,0.55259,0.73844
120.20101,0.55886,0.74216
121.50754,0.56511,0.74575
122.81407,0.57136,0.74932
124.1206,0.57752,0.7529
125.42714,0.58356,0.75639
126.73367,0.58961,0.75978
