timestep,time,crateridx,diameter,ref_elev,location_x,location_y,p_SLR,p_f_bedload,p_crater_accumulation_duration,p_crater_accumulation_number,p_crater_size,log_ID,distance_inlet,interbedded,rim_frac,ejecta_frac,rim_frac_sfc,rim_degree_cov,rim_degree_consec,rim_degree_consec_aboveref,rim_degree_consec_top
17,181333.3,1,209.1,-6.0,4870.0,2990.0,1e-08,0.8,1.0,250.0,-2.0,0,3114.514408378937,False,0.9537037037037037,0.9290123456790124,0.0,1.0,360.0,360.0,
24,256000.0,2,125.5,-6.0,7390.0,870.0,1e-08,0.8,1.0,250.0,-2.0,0,1616.2301816263673,False,0.675,0.7919847328244275,0.175,0.7222222222222222,160.0,160.0,
60,640000.0,3,108.6,-6.0,710.0,1270.0,1e-08,0.8,1.0,250.0,-2.0,0,5402.684517904039,False,1.0,0.91375,0.041666666666666664,1.0,360.0,360.0,
137,1461333.3,4,66.9,-6.0,270.0,2610.0,1e-08,0.8,1.0,250.0,-2.0,0,6245.398305952952,False,1.0,1.0,1.0,1.0,360.0,360.0,
175,1866666.7,5,103.0,-6.0,9490.0,1450.0,1e-08,0.8,1.0,250.0,-2.0,0,3767.890656587582,False,1.0,0.9900568181818182,0.0,1.0,360.0,360.0,
203,2165333.3,6,162.5,-6.0,8130.0,3630.0,1e-08,0.8,1.0,250.0,-2.0,0,4150.301193889427,False,0.9821428571428571,0.9893018018018018,0.14285714285714285,1.0,360.0,360.0,
214,2282666.7,7,108.7,-6.0,8090.0,5190.0,1e-08,0.8,1.0,250.0,-2.0,0,5528.489848050732,False,1.0,0.95,0.3333333333333333,1.0,360.0,360.0,
224,2389333.3,8,277.3,-6.0,10050.0,2610.0,1e-08,0.8,1.0,250.0,-2.0,0,4792.264600374232,False,0.9127906976744186,0.9631147540983607,0.005813953488372093,0.9523809523809523,342.85714285714283,342.85714285714283,
251,2677333.3,9,270.6,-6.0,1810.0,4230.0,1e-08,0.8,1.0,250.0,-2.0,0,5883.145417206683,False,0.9651162790697675,0.9436936936936937,0.01744186046511628,1.0,360.0,360.0,
281,2997333.3,10,213.3,-6.0,7530.0,4470.0,1e-08,0.8,1.0,250.0,-2.0,0,4655.598779963754,False,1.0,0.9904227212681638,0.8981481481481481,1.0,360.0,360.0,
