timestep,time,crateridx,diameter,ref_elev,location_x,location_y,p_SLR,p_f_bedload,p_crater_accumulation_duration,p_crater_accumulation_number,p_crater_size,log_ID,distance_inlet,interbedded,rim_frac,ejecta_frac,rim_frac_sfc,rim_degree_cov,rim_degree_consec,rim_degree_consec_aboveref,rim_degree_consec_top
40,426666.7,1,109.7,-6.0,9330.0,2390.0,1e-08,0.5,1.0,250.0,-2.0,0,4069.2259706238974,False,1.0,1.0,0.0,1.0,360.0,360.0,
75,800000.0,2,118.5,-6.0,11490.0,270.0,1e-08,0.5,1.0,250.0,-2.0,0,5513.274888847825,False,1.0,0.9988452655889145,0.25,1.0,360.0,360.0,
116,1237333.3,3,148.0,-6.0,10750.0,3670.0,1e-08,0.5,1.0,250.0,-2.0,0,5970.008375203505,False,1.0,0.9952054794520548,1.0,1.0,360.0,360.0,
168,1792000.0,4,233.0,-6.0,10430.0,1870.0,1e-08,0.5,1.0,250.0,-2.0,0,4796.519571522668,False,1.0,0.9530386740331491,0.0,1.0,360.0,360.0,
168,1792000.0,5,264.0,-6.0,4970.0,4770.0,1e-08,0.5,1.0,250.0,-2.0,0,4797.520192766258,False,1.0,0.9608433734939759,0.6547619047619048,1.0,360.0,360.0,
185,1973333.3,6,25.1,-6.0,3410.0,4210.0,1e-08,0.5,1.0,250.0,-2.0,0,4864.339626300779,False,1.0,1.0,0.0,,360.0,360.0,
198,2112000.0,7,138.3,-6.0,7050.0,2270.0,1e-08,0.5,1.0,250.0,-2.0,0,2437.4166652421163,False,0.475,0.910436137071651,0.0,0.65,180.0,180.0,
239,2549333.3,8,278.7,-6.0,3350.0,5050.0,1e-08,0.5,1.0,250.0,-2.0,0,5622.97074507773,False,1.0,0.9596464258262875,0.0,1.0,360.0,360.0,
266,2837333.3,9,130.3,-2.2,5470.0,1050.0,1e-08,0.5,1.0,250.0,-2.0,0,1095.9014554237986,True,0.9772727272727273,0.6581272084805654,0.20454545454545456,1.0,360.0,360.0,
277,2954666.7,10,138.0,-6.0,5730.0,2470.0,1e-08,0.5,1.0,250.0,-2.0,0,2403.039741660549,False,1.0,0.9867601246105919,1.0,1.0,360.0,360.0,
283,3018666.7,11,246.5,-5.7,5730.0,1370.0,1e-08,0.5,1.0,250.0,-2.0,0,1314.0015220691337,False,1.0,0.6618811881188119,0.18055555555555555,1.0,360.0,360.0,
309,3296000.0,12,121.0,-6.0,1510.0,3770.0,1e-08,0.5,1.0,250.0,-2.0,0,5796.291918114546,False,1.0,0.9530612244897959,0.025,1.0,360.0,360.0,
326,3477333.3,13,299.8,-4.6,10430.0,2210.0,1e-08,0.5,1.0,250.0,-2.0,0,4933.4977450081,False,0.9019607843137255,0.937,0.00980392156862745,0.9130434782608695,328.69565217391306,328.69565217391306,
367,3914666.7,14,218.5,-6.0,9030.0,5890.0,1e-08,0.5,1.0,250.0,-2.0,0,6561.905211141045,False,0.96,0.932410856838744,0.0,1.0,360.0,360.0,
453,4832000.0,15,99.1,-5.5,4510.0,4470.0,1e-08,0.5,1.0,250.0,-2.0,0,4629.57881453594,False,0.625,0.922360248447205,0.0,0.7142857142857143,257.14285714285717,257.14285714285717,
490,5226666.7,16,199.3,-6.0,1470.0,3150.0,1e-08,0.5,1.0,250.0,-2.0,0,5455.730931781735,False,1.0,0.9650464227198252,0.5625,1.0,360.0,360.0,
512,5461333.3,17,271.5,-6.0,770.0,2510.0,1e-08,0.5,1.0,250.0,-2.0,0,5748.825967099718,False,0.9418604651162791,0.9514145141451414,0.0,1.0,360.0,360.0,
520,5546666.7,18,69.5,-6.0,4930.0,1370.0,1e-08,0.5,1.0,250.0,-2.0,0,1663.3099530754935,False,1.0,0.653125,0.16666666666666666,0.8888888888888888,320.0,320.0,
533,5685333.3,19,126.6,-6.0,3850.0,2470.0,1e-08,0.5,1.0,250.0,-2.0,0,3201.4059411452336,False,1.0,1.0,0.9444444444444444,1.0,360.0,360.0,
534,5696000.0,20,48.7,-5.8,6830.0,770.0,1e-08,0.5,1.0,250.0,-2.0,0,1094.805918873295,False,0.875,0.625,0.0,,315.0,120.0,
543,5792000.0,21,198.8,-6.0,2170.0,3390.0,1e-08,0.5,1.0,250.0,-2.0,0,5046.999108381137,False,1.0,0.9996206373292867,0.0,1.0,360.0,360.0,
573,6112000.0,22,14.7,-6.0,11210.0,3410.0,1e-08,0.5,1.0,250.0,-2.0,0,6200.145159591024,False,1.0,1.0,0.0,,360.0,360.0,
606,6464000.0,23,40.0,-6.0,430.0,1290.0,1e-08,0.5,1.0,250.0,-2.0,0,5680.369706277928,False,1.0,1.0,0.0,,360.0,288.0,
670,7146666.7,24,28.8,-6.0,10570.0,5630.0,1e-08,0.5,1.0,250.0,-2.0,0,7202.124686507447,False,1.0,1.0,1.0,,360.0,360.0,
676,7210666.7,25,67.6,-6.0,1710.0,1910.0,1e-08,0.5,1.0,250.0,-2.0,0,4645.621594576984,False,1.0,0.9769736842105263,0.0,1.0,360.0,360.0,
683,7285333.3,26,118.0,-5.9,9190.0,190.0,1e-08,0.5,1.0,250.0,-2.0,0,3211.8841822207723,False,0.9166666666666666,0.8936170212765957,0.3888888888888889,1.0,360.0,360.0,
748,7978666.7,27,258.4,-6.0,11590.0,2390.0,1e-08,0.5,1.0,250.0,-2.0,0,6066.976182580578,False,0.975,0.9694783573806881,0.0,1.0,359.99999999999994,359.99999999999994,
808,8618666.7,28,213.9,-5.7,5610.0,4490.0,1e-08,0.5,1.0,250.0,-2.0,0,4425.494322671762,False,1.0,0.9701386420191966,0.7314814814814815,1.0,360.0,360.0,
825,8800000.0,29,282.3,-6.0,6510.0,5410.0,1e-08,0.5,1.0,250.0,-2.0,0,5356.286026716646,False,0.9943181818181818,0.9678295383329851,0.8238636363636364,1.0,360.0,360.0,
882,9408000.0,30,205.1,-6.0,9090.0,710.0,1e-08,0.5,1.0,250.0,-2.0,0,3173.168763239674,False,0.9,0.855865522174535,0.05,1.0,360.0,360.0,
944,10069333.3,31,191.6,-5.6,6250.0,4790.0,1e-08,0.5,1.0,250.0,-2.0,0,4717.732506194051,False,1.0,0.983251633986928,1.0,1.0,360.0,360.0,
987,10528000.0,32,154.4,-6.0,9590.0,4430.0,1e-08,0.5,1.0,250.0,-2.0,0,5652.839994197607,False,,,,0.0,0.0,0.0,
998,10645333.3,33,66.3,-6.0,2490.0,4770.0,1e-08,0.5,1.0,250.0,-2.0,0,5846.041395679644,False,1.0,0.9929577464788732,0.0,1.0,360.0,360.0,
1009,10762666.7,34,68.2,-6.0,11950.0,5450.0,1e-08,0.5,1.0,250.0,-2.0,0,8029.806971528021,False,1.0,1.0,0.0,1.0,360.0,360.0,
1042,11114666.7,35,247.0,-4.9,10610.0,2670.0,1e-08,0.5,1.0,250.0,-2.0,0,5305.186141880415,False,1.0,0.9019174041297935,0.0,1.0,360.0,360.0,
1109,11829333.3,36,227.8,-6.0,6290.0,3570.0,1e-08,0.5,1.0,250.0,-2.0,0,3503.740857997349,False,1.0,0.9404487917146145,0.0,1.0,360.0,360.0,
1133,12085333.3,37,71.0,-6.0,10610.0,750.0,1e-08,0.5,1.0,250.0,-2.0,0,4678.226159560908,False,1.0,1.0,0.8333333333333334,0.9,324.0,324.0,
1171,12490666.7,38,201.1,-6.0,8550.0,1770.0,1e-08,0.5,1.0,250.0,-2.0,0,3075.873859572268,False,1.0,0.827917282127031,0.14130434782608695,1.0,360.0,360.0,
1171,12490666.7,39,45.0,-6.0,690.0,650.0,1e-08,0.5,1.0,250.0,-2.0,0,5320.620264593217,False,1.0,0.9926470588235294,1.0,,360.0,300.0,
1183,12618666.7,40,194.6,-6.0,11270.0,5330.0,1e-08,0.5,1.0,250.0,-2.0,0,7452.959143856889,False,1.0,0.9540816326530612,0.011904761904761904,1.0,360.0,360.0,
1209,12896000.0,41,84.7,-6.0,1290.0,4670.0,1e-08,0.5,1.0,250.0,-2.0,0,6562.331902609011,False,1.0,0.91875,0.0,1.0,360.0,360.0,
1283,13685333.3,42,55.9,-6.0,1330.0,1790.0,1e-08,0.5,1.0,250.0,-2.0,0,4954.452542915312,False,1.0,0.8018867924528302,0.0,,360.0,300.0,
1303,13898666.7,43,294.8,-6.0,8890.0,2570.0,1e-08,0.5,1.0,250.0,-2.0,0,3829.9086150977546,False,1.0,0.9290633608815427,0.6372549019607843,1.0,360.0,360.0,
1311,13984000.0,44,260.8,-6.0,10650.0,4230.0,1e-08,0.5,1.0,250.0,-2.0,0,6247.511504591248,False,1.0,0.9914548641542507,1.0,1.0,359.99999999999994,359.99999999999994,
1320,14080000.0,45,242.2,-5.6,6350.0,1070.0,1e-08,0.5,1.0,250.0,-2.0,0,1056.882207249228,False,0.703125,0.4949031600407747,0.0390625,0.7837837837837838,194.59459459459458,194.59459459459458,
1389,14816000.0,46,116.2,-6.0,650.0,3850.0,1e-08,0.5,1.0,250.0,-2.0,0,6528.537355334654,False,0.8571428571428571,0.8833333333333333,0.0,0.9411764705882353,338.8235294117647,338.8235294117647,
1389,14816000.0,47,26.4,-1.2,4610.0,730.0,1e-08,0.5,1.0,250.0,-2.0,0,1516.3772617656862,True,1.0,0.3611111111111111,0.75,,360.0,360.0,
1421,15157333.3,48,274.3,-6.0,570.0,5430.0,1e-08,0.5,1.0,250.0,-2.0,0,7608.5872538862295,False,0.9651162790697675,0.9309136420525657,0.0,0.9761904761904762,351.42857142857144,351.42857142857144,
1453,15498666.7,49,96.6,-6.0,2370.0,2210.0,1e-08,0.5,1.0,250.0,-2.0,0,4191.539096799647,False,1.0,0.9808917197452229,0.0,1.0,360.0,360.0,
1527,16288000.0,50,171.9,-5.8,1810.0,2710.0,1e-08,0.5,1.0,250.0,-2.0,0,4930.091277045487,False,0.6323529411764706,0.97920892494929,0.014705882352941176,0.6538461538461539,235.3846153846154,235.3846153846154,
1564,16682666.7,51,10.6,-6.0,10670.0,5190.0,1e-08,0.5,1.0,250.0,-2.0,0,6936.007497112442,False,1.0,,0.0,,360.0,360.0,
1571,16757333.3,52,110.9,-5.4,5990.0,3890.0,1e-08,0.5,1.0,250.0,-2.0,0,3810.013123336979,False,1.0,0.9902912621359223,0.0,1.0,360.0,360.0,
1572,16768000.0,53,160.4,-1.2,6410.0,770.0,1e-08,0.5,1.0,250.0,-2.0,0,813.0190649671138,True,0.4807692307692308,0.2977855477855478,0.07692307692307693,0.5416666666666666,120.0,105.0,
1594,17002666.7,54,246.3,-6.0,4730.0,1670.0,1e-08,0.5,1.0,250.0,-2.0,0,2022.5231766286388,False,1.0,0.8138613861386138,0.9444444444444444,1.0,360.0,360.0,
1604,17109333.3,55,234.9,-6.0,1830.0,4550.0,1e-08,0.5,1.0,250.0,-2.0,0,6099.458992402523,False,1.0,0.9558026030368764,0.07575757575757576,1.0,360.0,360.0,
1621,17290666.7,56,102.0,-6.0,11930.0,5730.0,1e-08,0.5,1.0,250.0,-2.0,0,8205.181289892382,False,1.0,0.9976689976689976,1.0,0.9285714285714286,334.2857142857143,334.2857142857143,
1630,17386666.7,57,240.7,-6.0,7430.0,4430.0,1e-08,0.5,1.0,250.0,-2.0,0,4585.30260724415,False,1.0,0.9599690082644629,0.49193548387096775,1.0,360.0,360.0,
1631,17397333.3,58,122.3,-4.3,6530.0,3370.0,1e-08,0.5,1.0,250.0,-2.0,0,3335.655857548857,False,1.0,0.930161943319838,0.0,1.0,360.0,360.0,
1637,17461333.3,59,139.1,-6.0,510.0,1450.0,1e-08,0.5,1.0,250.0,-2.0,0,5638.953803676707,False,0.8,0.9883900928792569,0.05,0.8,288.0,288.0,
1643,17525333.3,60,286.5,-2.0,6750.0,1270.0,1e-08,0.5,1.0,250.0,-2.0,0,1417.391971192161,True,1.0,0.656043956043956,0.02127659574468085,1.0,360.0,360.0,
1648,17578666.7,61,27.7,-3.6,5710.0,4250.0,1e-08,0.5,1.0,250.0,-2.0,0,4178.731865051885,False,1.0,0.8541666666666666,0.0,,360.0,360.0,
1660,17706666.7,62,271.2,-6.0,430.0,3530.0,1e-08,0.5,1.0,250.0,-2.0,0,6534.90627323759,False,1.0,0.9616645649432535,0.19186046511627908,1.0,360.0,360.0,
1680,17920000.0,63,83.4,-6.0,1750.0,5750.0,1e-08,0.5,1.0,250.0,-2.0,0,7074.022900726291,False,1.0,1.0,1.0,1.0,360.0,360.0,
1703,18165333.3,64,260.9,-3.5,350.0,5170.0,1e-08,0.5,1.0,250.0,-2.0,0,7589.795781178832,False,0.8552631578947368,0.9191599539700805,0.006578947368421052,0.8717948717948718,313.8461538461538,313.8461538461538,
1726,18410666.7,65,273.0,-2.3,10370.0,2810.0,1e-08,0.5,1.0,250.0,-2.0,0,5169.6228102251325,False,0.9011627906976745,0.8979015334947539,0.5755813953488372,0.9512195121951219,316.0975609756098,316.0975609756098,
1729,18442666.7,66,98.7,-6.0,5470.0,2970.0,1e-08,0.5,1.0,250.0,-2.0,0,2934.655005277452,False,1.0,0.9487577639751553,0.0,1.0,360.0,360.0,
1736,18517333.3,67,115.6,-4.6,1490.0,3450.0,1e-08,0.5,1.0,250.0,-2.0,0,5614.000356252215,False,1.0,0.93,1.0,1.0,360.0,360.0,
1743,18592000.0,68,57.7,-6.0,8650.0,3650.0,1e-08,0.5,1.0,250.0,-2.0,0,4458.004037683232,False,1.0,0.9605263157894737,0.0,1.0,360.0,360.0,
1829,19509333.3,69,120.0,-5.7,5390.0,2410.0,1e-08,0.5,1.0,250.0,-2.0,0,2403.539057306954,False,1.0,0.9348739495798319,0.027777777777777776,1.0,360.0,360.0,
1842,19648000.0,70,294.8,-4.5,2950.0,4970.0,1e-08,0.5,1.0,250.0,-2.0,0,5752.65156254053,False,0.946078431372549,0.9574724517906336,0.0,1.0,360.0,360.0,
1905,20320000.0,71,132.9,-6.0,4610.0,2630.0,1e-08,0.5,1.0,250.0,-2.0,0,2894.71933009057,False,1.0,0.8732993197278912,0.0,1.0,360.0,360.0,
1988,21205333.3,72,22.2,-5.6,2250.0,5150.0,1e-08,0.5,1.0,250.0,-2.0,0,6294.267232966837,False,1.0,0.75,0.5,,360.0,360.0,
1988,21205333.3,73,102.4,-5.6,130.0,4110.0,1e-08,0.5,1.0,250.0,-2.0,0,7103.75956800341,False,1.0,1.0,0.041666666666666664,1.0,360.0,360.0,
2000,21333333.3,74,39.4,-2.1,3870.0,310.0,1e-08,0.5,1.0,250.0,-2.0,0,2122.4985276791126,True,0.0,0.31,0.0,,0.0,0.0,
2017,21514666.7,75,165.2,-6.0,3930.0,3910.0,1e-08,0.5,1.0,250.0,-2.0,0,4344.122466045358,False,1.0,0.9208515283842795,0.0,1.0,360.0,360.0,
2031,21664000.0,76,274.6,-6.0,9630.0,3910.0,1e-08,0.5,1.0,250.0,-2.0,0,5290.689936104742,False,1.0,0.9865186360031721,0.9011627906976745,1.0,360.0,360.0,
2046,21824000.0,77,139.0,-5.0,7690.0,1950.0,1e-08,0.5,1.0,250.0,-2.0,0,2533.969218439719,False,0.825,0.781733746130031,0.125,0.9,162.0,162.0,
2049,21856000.0,78,136.4,2.1,6890.0,950.0,1e-08,0.5,1.0,250.0,-2.0,0,1258.967831201417,True,1.0,0.5056270096463023,0.0,1.0,360.0,360.0,
2061,21984000.0,79,16.6,-4.7,11070.0,5530.0,1e-08,0.5,1.0,250.0,-2.0,0,7457.25150440831,False,1.0,1.0,0.5,,360.0,360.0,
2090,22293333.3,80,119.7,-5.8,10790.0,5150.0,1e-08,0.5,1.0,250.0,-2.0,0,6988.6336289721185,False,1.0,1.0,1.0,1.0,360.0,360.0,
2101,22410666.7,81,288.8,-1.9,7050.0,2190.0,1e-08,0.5,1.0,250.0,-2.0,0,2365.7979626333267,True,0.8617021276595744,0.9083572453371592,0.010638297872340425,0.9090909090909091,327.27272727272725,327.27272727272725,
2111,22517333.3,82,192.0,-6.0,1930.0,510.0,1e-08,0.5,1.0,250.0,-2.0,0,4072.76318977669,False,0.8095238095238095,0.9741343345848978,0.011904761904761904,0.8275862068965517,297.9310344827586,297.9310344827586,
2120,22613333.3,83,44.8,-5.5,2450.0,3670.0,1e-08,0.5,1.0,250.0,-2.0,0,5034.779041824973,False,1.0,0.9411764705882353,1.0,,360.0,300.0,
2186,23317333.3,84,101.2,-4.7,530.0,2170.0,1e-08,0.5,1.0,250.0,-2.0,0,5837.0026554730985,False,1.0,0.9244186046511628,0.0,0.9285714285714286,334.2857142857143,334.2857142857143,
2290,24426666.7,85,241.4,-2.2,3590.0,4850.0,1e-08,0.5,1.0,250.0,-2.0,0,5335.2600686377045,False,0.96875,0.8810380267214799,0.7890625,1.0,360.0,360.0,
2315,24693333.3,86,57.3,-1.7,8950.0,2870.0,1e-08,0.5,1.0,250.0,-2.0,0,4074.9233121618377,False,1.0,0.9090909090909091,0.5,1.0,360.0,360.0,
2354,25109333.3,87,15.8,-5.9,11870.0,1650.0,1e-08,0.5,1.0,250.0,-2.0,0,6095.654189666602,False,1.0,1.0,0.0,,360.0,360.0,
2382,25408000.0,88,209.8,14.4,2870.0,4850.0,1e-08,0.5,1.0,250.0,-2.0,0,5694.295391003175,False,0.6666666666666666,0.8778833107191316,0.9907407407407407,0.7741935483870968,197.4193548387097,197.4193548387097,
2387,25461333.3,89,205.5,-2.4,1610.0,4430.0,1e-08,0.5,1.0,250.0,-2.0,0,6165.987349970806,False,0.93,0.9242532005689901,0.33,1.0,360.0,360.0,
2412,25728000.0,90,76.3,-6.0,2910.0,3470.0,1e-08,0.5,1.0,250.0,-2.0,0,4573.510686551415,False,1.0,0.995,1.0,0.9,324.0,324.0,
2433,25952000.0,91,89.2,-5.8,170.0,1330.0,1e-08,0.5,1.0,250.0,-2.0,0,5942.9453976963305,False,1.0,0.9978401727861771,1.0,0.9230769230769231,332.3076923076923,332.3076923076923,
2439,26016000.0,92,40.7,-6.0,7570.0,3510.0,1e-08,0.5,1.0,250.0,-2.0,0,3780.6084166440723,False,0.0,0.5625,0.0,,0.0,0.0,
2472,26368000.0,93,110.5,-5.5,5830.0,5110.0,1e-08,0.5,1.0,250.0,-2.0,0,5032.236083492109,False,0.9583333333333334,0.9733009708737864,0.0,1.0,360.0,360.0,
2479,26442666.7,94,285.1,-5.7,6030.0,3070.0,1e-08,0.5,1.0,250.0,-2.0,0,2990.418030978278,False,1.0,0.9137803979366249,0.6063829787234043,1.0,360.0,360.0,
2482,26474666.7,95,49.5,-6.0,2770.0,3850.0,1e-08,0.5,1.0,250.0,-2.0,0,4951.464429842953,False,1.0,1.0,1.0,,360.0,300.0,
2502,26688000.0,96,17.5,-6.0,2150.0,1650.0,1e-08,0.5,1.0,250.0,-2.0,0,4139.29945763773,False,1.0,1.0,0.0,,360.0,360.0,
2550,27200000.0,97,132.0,-4.0,9450.0,3590.0,1e-08,0.5,1.0,250.0,-2.0,0,4935.68637577389,False,1.0,0.9206896551724137,1.0,1.0,360.0,360.0,
2584,27562666.7,98,19.8,-6.0,9870.0,630.0,1e-08,0.5,1.0,250.0,-2.0,0,3928.689348879598,False,1.0,1.0,0.625,,360.0,360.0,
