Mean X Position of Layer (m),Mean Y Position of Layer (m),Mean Layer Elevation (m),Major Radius of Curvature (m),Minor Radius of Curvature (m),Point Bar Height (m),RMSE of Fit (m)
-5604.1,-1108.1,-2437.1,75,12,7,0.17
-4904.9,1730.8,-2437.1,211,62,36,0.33
-5973.4,-1489.5,-2450.9,27,14,29,0.24
-5601.3,-1111.6,-2437.2,64,13,7,0.13
-6459.4,-1267.5,-2439.5,112,50,10,0.24
-4974.1,1788,-2436.9,47,43,23,0.37
-5031,2013.2,-2432.3,61,22,15,0.23
-5620.1,-1136,-2437.3,78,22,20,0.5
-5353.8,-1589,-2463.5,151,46,14,0.25
-4751.2,1720.9,-2443.7,81,25,17,0.18
-5349.2,-1589.2,-2463.5,211,72,26,0.21
-4940.2,-1734,-2459.4,107,19,15,0.21
-7062.8,-2020,-2442.9,48,21,15,0.27
-5144.3,2075.5,-2435.9,107,32,22,0.2
-5912.8,-1627.7,-2443.6,158,29,5,0.24
-5691.5,-1095.4,-2438.4,60,27,18,0.37
-5621.3,-1090,-2438.3,46,44,10,0.25
-4756.4,1719.7,-2443.9,32,23,20,0.24
-5663.1,1787.5,-2403.9,79,51,25,0.22
-5676.5,-1113.4,-2440.8,110,11,6,0.13
-5878.1,-1138.7,-2436.9,157,16,19,0.24
-7030.8,-1962.1,-2439.5,45,27,24,0.28
-5693.8,-1259.5,-2440.1,186,162,31,0.43
-7184.4,-1152.8,-2417.6,264,18,10,0.27
-5956.4,-1233.3,-2444.3,100,33,27,0.23
-5617.8,-1129.9,-2437,28,24,10,0.3
-5064.7,-1461.3,-2458.8,35,23,14,0.35
-6458.2,-1495,-2435.3,61,37,12,0.12
-7193.5,-1939.4,-2442.3,42,21,17,0.22
-4981.7,1575.9,-2429.8,201,77,13,0.09
-5873.4,-1504.1,-2456.1,37,19,21,0.15
-8228.2,-177.8,-2388.5,125,32,15,0.26
-6273.2,-1711.1,-2438.6,46,17,23,0.26
-7020,-1952.5,-2438.8,41,26,25,0.26
-6981.8,-1929.1,-2439.2,37,20,22,0.29
-5050.3,-1475.8,-2457,78,10,7,0.12
-5609.4,-1247.6,-2438.6,54,34,7,0.11
-4939.3,-1741,-2460,54,33,22,0.2
-7025.1,-1319.9,-2415.1,67,33,23,0.3
-6460.6,-819.3,-2442.6,48,27,22,0.27
-5635,1643.7,-2421.7,57,28,25,0.19
-6380,-1585.4,-2438,235,15,24,0.18
-6866,-1796.3,-2428.3,100,69,8,0.31
-5141.4,2036,-2434.5,121,49,20,0.31
-7178.8,-1799.3,-2428.8,82,38,29,0.24
-6190.7,-1427.9,-2449.1,238,55,4,0.13
-6199.5,-1634,-2439.6,68,40,17,0.18
-6469.4,-1866.2,-2445,62,44,19,0.19
-5379.5,2082.7,-2409.6,43,28,20,0.15
-6114,-1295.2,-2447.5,57,34,16,0.3
-6434.1,-834.9,-2442,67,40,26,0.33
-4949.5,1782,-2437.8,95,18,24,0.13
