crater_rim_x,crater_rim_y,channel_upper_x,channel_upper_y,channel_lower_x,channel_lower_y
375.77,425.48,849.9,999.39,807.89,999.96
407.44,415.35,849.71,979.54,806.73,995.82
424.63,408.93,848.46,962.67,801.96,984.79
435.08,396.46,845.71,949.31,796.46,973.23
443.51,393.42,833.32,928.95,789.26,958.06
454.63,390.04,823.25,916.65,784.39,947.13
466.43,376.89,806.08,904.03,777.71,942.79
475.87,364.08,782.54,889.52,771.56,937.49
487,356.32,764.61,887.94,764.57,932.08
495.43,342.5,744.35,886.9,754.49,927.64
501.51,331.38,727.27,886.28,745.8,924.78
500.84,323.63,706.16,886.19,734.23,923.3
496.14,316.9,689.4,883.98,724.47,920.13
503.89,309.82,681.12,881.55,715.03,917.91
513,298.02,661.6,879.23,702.62,918.98
518.06,291.28,636.46,875.86,686.49,922.82
521.44,278.47,606.97,872.38,678,924.84
520.12,250.18,580.66,868.69,662.19,923.9
516.43,241.09,562.31,862.23,645.11,925.29
512.06,225.93,548.42,857.68,638.11,922.01
513.1,204.71,526.04,853.14,614.98,919.06
515.81,185.5,499.42,845.63,594.93,916.75
507.75,160.92,479.48,839.6,576.59,908.17
493.97,140.04,466.12,831.97,556.12,900.86
473.78,113.78,453.07,825.83,546.68,896.31
454.26,99.99,436.11,811.63,527.8,890.91
429.02,84.18,419.9,794.03,512.53,884.99
406.46,72.41,414.29,780.98,491.64,877.79
384.24,67.38,411.55,766.66,475.73,870.38
363.69,63.86,407.85,747.88,459.4,862.65
341.63,61.86,409.46,736.42,447.31,858.09
318.89,63.9,412.02,720.82,436.6,852.59
292.95,68.97,417.45,699.17,425.57,845.38
264.48,75.4,424.16,678.05,417.73,833.71
241.91,80.98,429.05,666.16,411.81,822.37
225.39,91.94,435.02,645.46,405.56,809.53
212.92,103.58,442.79,617.76,398.15,792.46
199.43,116.89,448.65,599.82,395.08,783.23
189.98,129.2,450.15,581.25,391.6,770.5
184.75,140.66,450.9,572.97,389.17,759.15
178.51,151.11,449.32,561.73,386.74,750.76
171.42,160.55,444.67,553.14,383.46,740.37
162.65,172.34,438.21,537.23,381.67,730.82
155.4,185.83,428.14,525.99,379.03,718.09
151.01,196.44,416.71,505.09,376.71,704.72
148.81,206.89,403.79,483.25,374.39,693.05
145.42,218.51,394.04,470.52,370.36,687.43
143.56,227.27,383.87,454.19,367.71,683.72
142.21,237.04,375.52,429.79,363.26,676.51
140.51,244.12,369.91,410.27,354.59,655.19
138.15,252.71,371,385.34,350.25,643.84
137.13,258.94,372.92,375.26,346.12,635.25
136.78,271.58,380.57,366.12,344.54,628.03
138.12,279.49,389.82,351.58,345.71,616.89
134.4,291.29,395.78,327.49,346.89,605.11
129.34,298.2,405.04,304.88,348.6,596.2
123.27,305.78,410.15,288.21,351.69,584.52
120.23,308.99,419.2,257.01,353.4,569.14
,,422.92,247.14,354.05,559.27
,,429.09,233.97,355.44,550.88
,,428.05,219.75,349.72,540.7
,,423.07,206.5,342.94,533.28
,,414.92,189.63,339.02,527.87
,,406.34,179.24,334.25,521.62
,,397.54,177.02,331.07,518.22
,,385.97,178.94,322.06,517.28
,,371.22,182.56,315.38,513.46
,,356.05,182.58,313.36,511.45
,,348.31,176.96,307.84,514.64
,,335.58,174.21,302.11,519.95
,,333.58,162.01,293.82,529.19
,,330.94,150.45,287.66,539.91
,,321.93,136.66,286.05,548.93
,,307.62,123.83,282.33,555.83
,,298.5,118.01,273.41,564.11
,,289.49,116.42,270.01,569.74
,,282.91,118.23,265.44,575.9
,,270.6,121.43,259.92,579.94
,,262.1,126.32,251.86,582.81
,,254.78,131.84,246.76,584.51
,,245.32,143.84,240.08,585.47
,,239.37,154.14,233.6,585.69
,,233.41,168.25,227.45,584.53
,,232.76,181.52,221.3,581.35
,,233.28,197.54,213.67,576.79
,,232.63,206.99,204.86,573.51
,,230.4,211.13,199.03,570.34
,,220.52,218.03,192.14,564.61
,,208.42,226.85,189.92,558.35
,,197.48,234.82,189.19,552.09
,,190.26,243.21,186.65,545.41
,,186.32,252.55,180.5,538.09
,,184.51,263.37,176.79,531.09
,,179.93,278.87,176.06,523.99
,,176.52,288.85,176.28,512.31
,,170.25,303.6,174.5,497.67
,,168.22,312.62,175.15,485.47
,,163.76,318.04,174.31,473.37
,,158.35,320.7,171.45,466.9
,,152.72,320.81,165.83,463.09
,,142.33,318.8,159.58,457.58
,,129.82,311.91,154.28,450.47
,,115.07,307.79,151.42,443.47
,,101.39,307.59,141.46,431.17
,,90.56,307.71,136.06,425.87
,,71.25,308.57,126.52,418.98
,,53.11,309.76,119.95,411.03
,,39.1,311.47,113.59,402.02
,,21.06,314.03,107.34,392.9
,,10.35,314.78,100.77,385.9
,,1.33,314.05,97.81,379.32
,,,,93.57,376.36
,,,,86.78,376.89
,,,,81.79,378.91
,,,,72.56,380.62
,,,,63.96,382.43
,,,,46.66,384.57
,,,,37.96,386.7
,,,,28.73,387.45
,,,,11.33,388.53
,,,,1.36,388.75
